CONSIGNMENT DELIVERY RECEIPT : DVO WRHS,,,,,,,,
DATE,OUTLET,DR#,OUTLET RR#,BRAND,ITEM DESCRIPTION,UoM,QUANTITY,REMARKS
,,,,,,,,
3/1/2026,KCC GENSAN,1981,,LP-OTH,KINGS HERBAL 1000ML,BOT,6,
3/1/2026,KCC GENSAN,1981,,CH,ACTIVE WHITE L- GLUTATHIONE 1000MG W/ C 60S,BOX,6,
3/1/2026,KCC GENSAN,1981,,CH,FUCHINGSUNG-N CREAM,TUBE,50,
3/1/2026,KCC GENSAN,1981,,CH,JADE CRANES INHALER BIG,BOX,48,
3/1/2026,KCC GENSAN,1981,,CH,JADE CRANES INHALER SMALL,BOX,33,
3/1/2026,KCC GENSAN,1981,,CH,MENA FACIAL CREAM,BOX,10,
3/1/2026,KCC GENSAN,1981,,CH,OLDELANDIA 60S,BOT,20,
3/1/2026,KCC GENSAN,1981,,CH,PEI PA KOA CANDY 24S,PACK,1,
3/1/2026,KCC GENSAN,1981,,CH,PHOSDOC BRAIN TONIC 150ML.,BOT,5,
3/1/2026,KCC GENSAN,1981,,CH,PIYEN CHIN 10ML 50S,BOT,50,
3/1/2026,KCC GENSAN,1981,,CH,SHILINGTONG 100S,BOT,15,
3/1/2026,KCC GENSAN,1981,,CH,SKIN HELP 10G,BOX,10,
3/1/2026,KCC GENSAN,1981,,CH,SKIN FIGHTER CREAM,TUBE,80,
3/1/2026,KCC GENSAN,1981,,CH,TOP GEL CREAM SMALL,BOX,3,
3/1/2026,KCC GENSAN,1981,,CH,MIPIACI ORGANIC BARLEY POWDER 200G,BOT,6,
3/1/2026,KCC GENSAN,1981,,CH,ALASKA FISH OIL 100S,BOT,12,