RR OTHERS,,,,,,,,
DATE,OUTLET,DR#,OUTLET RR#,BRAND,ITEM DESCRIPTION,UoM,QUANTITY,REMARKS
,,,,,,,,
3/3/2026,Davao Warehouse,9378,,OLP,SANTE BARLEY POWDER JUICE 30'S,BOX,47,
3/3/2026,Davao Warehouse,9378,,OLP,BONA VITA 8 IN 1 COFFEE MIX 10'S,BOX,160,
3/3/2026,Davao Warehouse,9378,,CH,BL OINTMENT 7G,TUBE,1100,
3/3/2026,Davao Warehouse,9378,,LP-YAM,PROVIMIN 200MG 150S,BOX,195,
3/3/2026,Davao Warehouse,9378,,OLP,BONA VITA 8 IN 1 COFFEE MIX 10'S,BOX,120,
,,,,,,,,
3/6/2026,Davao Warehouse,9379,,KL,FISH OIL CONCENTRATE 1000MG 400S,BOT,35,
3/6/2026,Davao Warehouse,9379,,KL,VITAMIN D3 2000 IU 600'S,BOT,10,
3/6/2026,Davao Warehouse,9379,,KL,COQ10 300MG 100'S,BOT,7,
3/6/2026,Davao Warehouse,9379,,OUS-LGD,NEOCELL GRASSFED COLLAGEN PEPTIDES + VITC BIOTIN 360S,BOT,30,
3/6/2026,Davao Warehouse,9379,,OUS,YOUTHEORY COLLAGEN 390'S,BOT,16,
3/6/2026,Davao Warehouse,9379,,OLP,BLUE MIRACLE 100ML,BOT,160,
,,,,,,,,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE AMPALAYA CAPSULE 500MG 100S,BOT,19,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE ASHITABA CAPSULE 500MG 100S,BOT,4,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE ALINGATONG CAPSULE 500MG 100S,BOT,5,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE BANABA CAPSULE 500MG 100S,BOT,14,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE BARLEY CAPSULE 500MG 100S,BOT,25,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE GUYABANO CAPSULE 500MG 100S,BOT,15,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE MANGOSTEEN CAPSULE 500MG 100S,BOT,11,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE MALUNGGAY CAPSULE 500MG 100S,BOT,33,
3/6/2026,Davao Warehouse,9380,,OLP LGD,BELLEVINE PARAGIS CAPSULE 500MG 100S,BOT,49,
,,,,,,,,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE TURMERIC CAPSULE 500MG 100S,BOT,25,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE TAWA TAWA CAPSULE 500MG 100S,BOT,5,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE SPIRULINA CAPSULE 500MG 100S,BOT,25,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE SERPENTINA CAPSULE 500MG 100S,BOT,36,
3/6/2026,Davao Warehouse,9381,,OLP LGD,DIVA ORGANIC BARLEY POWDER 50G,BOT,28,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE CRANBERRY CAPSULE 500MG 60S,BOT,12,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE INSULIN PLANTCAPSULE 500MG 100S,BOT,17,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE COLLAGEN CAPSULE 500MG 60S,BOT,7,
3/6/2026,Davao Warehouse,9381,,OLP LGD,BELLEVINE GARCINIA CAMBOGIA CAPSULE 500MG 60S,BOT,15,